Expectativa_2016,Todos,Pos
Santa Catarina ,79.1   ,1
Espírito Santo ,78.2   ,2
Distrito Federal ,78.1   ,3
São Paulo ,78.1   ,4
Rio Grande do Sul ,77.8   ,5
Minas Gerais ,77.2   ,6
Paraná ,77.1   ,7
Rio de Janeiro ,76.2   ,8
Rio Grande do Norte ,75.7   ,9
Mato Grosso do Sul ,75.5   ,10
Mato Grosso ,74.2   ,11
Goiás ,74.2   ,12
Acre ,73.9   ,13
Amapá ,73.9   ,14
Pernambuco ,73.9   ,15
Ceará ,73.8   ,16
Bahia,73.5   ,17
Tocantins ,73.4   ,18
Paraíba ,73.2   ,19
Sergipe ,72.7   ,20
Pará,72.1   ,21
Amazonas ,71.9   ,22
Alagoas ,71.6   ,23
Roraima ,71.5   ,24
Rondônia ,71.3   ,25
Piauí ,71.1   ,26
Maranhão ,70.6   ,27
